,id,char,freq
378,378,죠,24
379,379,놓,76
380,380,숙,29
381,381,끼,86
382,382,녁,17
383,383,영,171
384,384,업,47
385,385,침,49
386,386,셔,42
387,387,숫,1
388,388,루,25
389,389,점,68
390,390,결,72
391,391,박,65
392,392,접,37
393,393,낀,12
394,394,똑,56
395,395,혼,166
396,396,희,22
397,397,형,37
398,398,떻,108
399,399,벌,26
400,400,딸,34
401,401,설,26
402,402,변,47
403,403,눠,4
404,404,빤,3
405,405,봤,167
406,406,욱,6
407,407,공,66
408,408,감,121
409,409,밖,62
410,410,새,79
411,411,깜,12
412,412,털,4
413,413,얇,3
414,414,떨,23
415,415,흰,2
416,416,몰,80
417,417,끗,2
418,418,얼,93
419,419,굴,32
420,420,썼,14
421,421,체,68
422,422,랬,236
423,423,세,115
424,424,빈,11
425,425,딴,7
426,426,과,95
427,427,끝,50
428,428,늘,38
429,429,2,45
430,430,길,85
431,431,탈,5
432,432,웃,136
433,433,릇,17
434,434,벽,28
435,435,옆,79
436,436,습,46
437,437,몇,52
438,438,돼,112
439,439,쭈,1
440,440,판,16
441,441,봇,41
442,442,흉,1
443,443,낼,9
444,444,순,42
445,445,잡,59
446,446,천,46
447,447,닐,35
448,448,표,29
449,449,뿐,6
450,450,겁,4
451,451,협,8
452,452,강,70
453,453,죽,64
454,454,왔,132
455,455,치,244
456,456,렵,6
457,457,란,28
458,458,픔,2
459,459,낄,3
460,460,항,52
461,461,뜨,11
462,462,A,40
463,463,I,43
464,464,매,54
465,465,칭,3
466,466,찬,32
467,467,씨,40
468,468,깝,10
469,469,책,21
470,470,혐,6
471,471,탓,3
472,472,쟤,18
473,473,답,32
474,474,력,50
475,475,뽑,23
476,476,름,41
477,477,꿰,1
478,478,존,13
479,479,준,93
480,480,효,12
481,481,넣,9
482,482,께,5
483,483,쩔,21
484,484,쳐,38
485,485,룬,1
486,486,춰,20
487,487,련,13
488,488,춘,2
489,489,태,49
490,490,낮,13
491,491,추,57
492,492,끓,19
493,493,셨,39
494,494,익,45
495,495,멀,15
496,496,홉,3
497,497,첫,28
498,498,줘,75
499,499,색,24
500,500,또,249
501,501,완,60
502,502,객,5
503,503,맘,9
504,504,넓,5
505,505,늙,2
506,506,긍,23
507,507,손,38
508,508,봉,3
509,509,투,36
510,510,0,72
511,511,법,13
512,512,놈,3
513,513,향,15
514,514,졌,52
515,515,1,84
516,516,년,102
517,517,축,13
518,518,곡,3
519,519,권,14
520,520,울,115
521,521,밑,12
522,522,꿔,6
523,523,쌓,12
524,524,났,78
525,525,령,4
526,526,브,25
527,527,홀,10
528,528,꺼,33
529,529,좌,9
530,530,포,31
531,531,앞,56
532,532,쯤,9
533,533,째,32
534,534,블,19
535,535,팔,7
536,536,겼,47
537,537,띵,2
538,538,페,23
539,539,북,17
540,540,찾,43
541,541,혔,11
542,542,갤,3
543,543,럭,12
544,544,5,36
545,545,얹,1
546,546,혀,25
547,547,똥,21
548,548,딩,6
549,549,걔,120
550,550,D,11
551,551,쁘,21
552,552,3,50
553,553,떡,35
554,554,허,33
555,555,벅,4
556,556,툭,4
557,557,뚝,9
558,558,셋,8
559,559,탁,5
560,560,둥,12
561,561,군,41
562,562,담,27
563,563,컸,10
564,564,낳,14
565,565,획,3
566,566,패,21
567,567,먼,24
568,568,격,42
569,569,석,41
570,570,밀,16
571,571,떴,9
572,572,덕,8
573,573,찍,34
574,574,긁,5
575,575,암,11
576,576,튼,36
577,577,땐,20
578,578,꼈,24
579,579,낯,1
580,580,민,63
581,581,액,5
582,582,션,4
583,583,M,13
584,584,C,27
585,585,줌,8
586,586,귀,50
587,587,흘,3
588,588,송,35
589,589,탔,4
590,590,젊,27
591,591,콘,2
592,592,떳,2
593,593,밌,137
594,594,촌,7
595,595,싱,10
596,596,폴,5
597,597,농,7
598,598,깐,40
599,599,랖,4
600,600,범,7
601,601,죄,14
602,602,뇌,7
603,603,뭘,26
604,604,납,6
605,605,득,12
606,606,논,17
607,607,억,92
608,608,댄,12
609,609,림,25
610,610,쓸,14
611,611,슬,30
612,612,퍼,32
613,613,즈,9
614,614,컨,11
615,615,셉,1
616,616,깅,3
617,617,찐,2
618,618,큐,3
619,619,뚜,1
620,620,껑,1
621,621,밤,8
622,622,쳤,13
623,623,떼,19
624,624,춤,3
625,625,췄,3
626,626,랙,2
627,627,땡,5
628,628,볼,32
629,629,럽,24
630,630,틀,37
631,631,튜,22
632,632,티,24
633,633,뱅,1
634,634,놀,93
635,635,컥,4
636,636,흑,1
637,637,백,10
638,638,흔,11
639,639,악,13
640,640,낑,1
641,641,팀,5
642,642,6,18
643,643,쭉,5
644,644,쫄,3
645,645,둔,3
646,646,탱,5
647,647,찌,17
648,648,빨,21
649,649,뛰,8
650,650,벗,8
651,651,칠,17
652,652,론,17
653,653,훈,6
654,654,턴,2
655,655,활,41
656,656,앙,6
657,657,켁,2
658,658,뿌,6
659,659,첩,2
660,660,랗,2
661,661,십,7
662,662,껐,1
663,663,컷,1
664,664,웹,3
665,665,툰,3
666,666,압,5
667,667,참,55
668,668,뀌,11
669,669,쿠,4
670,670,팡,6
671,671,품,9
672,672,삼,9
673,673,례,12
674,674,렌,5
675,675,깔,13
676,676,섭,22
677,677,착,42
678,678,컴,3
679,679,플,20
680,680,렉,2
681,681,쁜,19
682,682,밍,2
683,683,겐,1
684,684,홍,11
685,685,쪼,9
686,686,뻐,9
687,687,틋,3
688,688,짠,8
689,689,룰,1
690,690,맴,2
691,691,찢,7
692,692,펐,3
693,693,넷,7
694,694,릭,3
695,695,토,36
696,696,픽,2
697,697,놔,9
698,698,함,9
699,699,갭,2
700,700,뺏,5
701,701,센,5
702,702,충,24
703,703,멸,3
704,704,앴,2
705,705,셌,2
706,706,컵,5
707,707,썰,5
708,708,덩,7
709,709,샵,2
710,710,헤,44
711,711,밝,5
712,712,짓,30
713,713,궁,5
714,714,T,27
715,715,댁,6
716,716,웬,3
717,717,싼,3
718,718,놨,15
719,719,졸,11
720,720,쉬,23
721,721,혈,10
722,722,욕,30
723,723,풀,14
724,724,핑,5
725,725,틱,4
726,726,캬,1
727,727,갇,2
728,728,쩌,17
729,729,김,43
730,730,랴,3
731,731,쨌,9
732,732,솜,3
733,733,웅,8
734,734,넌,17
735,735,턱,7
736,736,녕,11
737,737,빙,2
738,738,잤,23
739,739,엇,2
740,740,녹,4
741,741,핫,1
742,742,팬,4
743,743,츠,10
744,744,왠,6
745,745,걱,16
746,746,덜,17
747,747,짧,17
748,748,클,8
749,749,갠,2
750,750,곱,5
751,751,혜,22
752,752,댓,4
753,753,훨,7
754,754,씬,7
755,755,베,9
756,756,씀,4
757,757,빗,2
758,758,료,9
759,759,맑,3
760,760,쉽,7
761,761,립,5
762,762,폭,10
763,763,힌,7
764,764,념,5
765,765,톱,4
766,766,뚫,3
767,767,댕,3
768,768,숟,1
769,769,릅,1
770,770,왕,3
771,771,멘,2
772,772,깄,1
773,773,볶,14
774,774,헌,3
775,775,맥,7
776,776,찜,2
777,777,붙,15
778,778,택,15
779,779,철,21
780,780,곪,2
781,781,휴,27
782,782,V,25
783,783,짐,13
784,784,뻔,8
785,785,닷,2
786,786,덤,7
787,787,멍,8
788,788,뎌,1
789,789,풍,6
790,790,쫌,6
791,791,끌,8
792,792,맡,1
793,793,킬,3
794,794,쁠,2
795,795,탕,11
796,796,컬,10
797,797,쇼,12
798,798,짤,5
799,799,엽,3
800,800,랜,9
801,801,균,6
802,802,빵,9
803,803,땠,5
804,804,똠,1
805,805,찝,4
806,806,혁,1
807,807,붓,1
808,808,폐,5
809,809,텼,1
810,810,옳,4
811,811,7,14
812,812,8,7
813,813,렁,3
814,814,냈,9
815,815,육,32
816,816,샀,2
817,817,닿,7
818,818,며,22
819,819,뜰,1
820,820,겹,7
821,821,랄,2
822,822,뼈,9
823,823,겪,21
824,824,툽,1
825,825,딜,3
826,826,엣,1
